Date,Time,Time(s),O2 Charge
2019-05-22,21:32:57,18829,-3.15391
2019-05-22,21:33:08,18840,-2.93893
2019-05-22,21:33:18,18850,-2.97802
2019-05-22,21:33:28,18860,-3.11166
2019-05-22,21:33:38,18870,-3.02026
2019-05-22,21:33:48,18880,-2.97802
2019-05-22,21:33:58,18890,-2.93578
2019-05-22,21:34:08,18900,-2.94117
2019-05-22,21:34:18,18910,-2.98341
2019-05-22,21:34:28,18920,-2.94117
2019-05-22,21:34:38,18930,-3.03531
2019-05-22,21:34:48,18940,-2.94785
2019-05-22,21:34:58,18950,-2.93061
2019-05-22,21:35:08,18960,-2.84612
2019-05-22,21:35:18,18970,-2.89353
2019-05-22,21:35:28,18980,-2.82111
2019-05-22,21:35:38,18990,-2.85426
2019-05-22,21:35:48,19000,-2.80904
2019-05-22,21:35:58,19010,-2.80531
2019-05-22,21:36:08,19020,-2.90481
2019-05-22,21:36:18,19030,-2.72455
2019-05-22,21:36:28,19040,-2.72455
2019-05-22,21:36:38,19050,-2.77219
2019-05-22,21:36:48,19060,-2.81738
2019-05-22,21:36:58,19070,-2.76306
2019-05-22,21:37:08,19080,-2.7396
2019-05-22,21:37:18,19090,-2.76977
2019-05-22,21:37:28,19100,-2.64839
2019-05-22,21:37:38,19110,-2.69735
2019-05-22,21:37:48,19120,-2.68769
2019-05-22,21:37:58,19130,-2.7396
2019-05-22,21:38:08,19140,-2.64839
2019-05-22,21:38:19,19151,-2.77513
2019-05-22,21:38:29,19161,-2.64304
2019-05-22,21:38:39,19171,-2.64304
2019-05-22,21:38:49,19181,-2.68769
2019-05-22,21:38:59,19191,-2.73289
2019-05-22,21:39:09,19201,-2.60615
2019-05-22,21:39:19,19211,-2.63632
2019-05-22,21:39:29,19221,-2.52166
2019-05-22,21:39:39,19231,-2.61135
2019-05-22,21:39:49,19241,-2.51631
2019-05-22,21:39:59,19251,-2.56911
2019-05-22,21:40:09,19261,-2.52166
2019-05-22,21:40:19,19271,-2.51631
2019-05-22,21:40:29,19281,-2.47941
2019-05-22,21:40:39,19291,-2.69359
2019-05-22,21:40:49,19301,-2.51631
2019-05-22,21:40:59,19311,-2.43422
2019-05-22,21:41:09,19321,-2.38819
2019-05-22,21:41:19,19331,-2.48236
2019-05-22,21:41:29,19341,-2.43182
2019-05-22,21:41:39,19351,-2.43328
2019-05-22,21:41:49,19361,-2.43717
2019-05-22,21:41:59,19371,-2.43717
2019-05-22,21:42:09,19381,-2.47941
2019-05-22,21:42:19,19391,-2.29836
2019-05-22,21:42:29,19401,-2.39492
2019-05-22,21:42:39,19411,-2.47703
2019-05-22,21:42:49,19421,-2.35267
2019-05-22,21:42:59,19431,-2.39787
2019-05-22,21:43:09,19441,-2.44306
2019-05-22,21:43:19,19451,-2.25906
2019-05-22,21:43:30,19462,-2.26962
2019-05-22,21:43:39,19471,-2.31481
2019-05-22,21:43:50,19482,-2.34886
2019-05-22,21:44:00,19492,-2.30425
2019-05-22,21:44:10,19502,-2.18513
2019-05-22,21:44:20,19512,-2.21005
2019-05-22,21:44:30,19522,-2.31187
2019-05-22,21:44:40,19532,-2.35562
2019-05-22,21:44:50,19542,-2.12938
2019-05-22,21:45:00,19552,-2.22212
2019-05-22,21:45:10,19562,-2.262
2019-05-22,21:45:20,19572,-2.22212
2019-05-22,21:45:30,19582,-2.17457
2019-05-22,21:45:40,19592,-2.14288
2019-05-22,21:45:50,19602,-2.14055
2019-05-22,21:46:00,19612,-2.10358
2019-05-22,21:46:10,19622,-2.21825
2019-05-22,21:46:20,19632,-2.05313
2019-05-22,21:46:30,19642,-2.22504
2019-05-22,21:46:40,19652,-2.10358
2019-05-22,21:46:50,19662,-2.08623
2019-05-22,21:47:00,19672,-2.08331
2019-05-22,21:47:10,19682,-2.01381
2019-05-22,21:47:20,19692,-2.05313
2019-05-22,21:47:30,19702,-1.96478
2019-05-22,21:47:40,19712,-1.9346
2019-05-22,21:47:50,19722,-2.01381
